Player,Region
Expect,EUW
Trick,EUW
Perkz,EUW
Zven,EUW
Mithy,EUW
Odoamne,EUW
Jankos,EUW
Ryu,EUW
FORG1VEN,EUW
VandeR,EUW
AmazingJ,CN
Avoidless,CN
Athena,CN
jinjiao,CN
road,CN
Athena,CN
BaeMe,CN
Avoidless,CN
yang,WC
Revolta,WC
Tockers,WC
micaO,WC
Jockster,WC
Smeb,KR
Peanut,KR
kurO,KR
PraY,KR
GorillA,KR
Looper,CN
Mlxg,CN
xiaohu,CN
Uzi,CN
Mata,CN
CuVee,KR
Ambition,KR
Crown,KR
Ruler,KR
CoreJJ,KR
Wraith,KR
Duke,KR
bengi,KR
Faker,KR
Bang,KR
Wolf,KR
blank,KR
Wunder,EUW
Kold,EUW
Sencux,EUW
Kobbe,EUW
Mikyx,EUW
Hauntzer,NA
Svenskeren,NA
Bjergsen,NA
Doublelift,NA
Biofrost,NA
ZionSpartan,NA
Xmithie,NA
Huhi,NA
Stixxay,NA
Aphromoo,NA
MMD,TW
Karsa,TW
Maple,TW
NL,TW
SwordArt,TW
Kikis,EUW
Trick,EUW
Perkz,EUW
Emperor,EUW
Hybrid,EUW
Looper,CN
Mlxg,CN
xiaohu,CN
Wuxx,CN
Mata,CN
Duke,KR
blank,KR
Faker,KR
Bang,KR
Wolf,KR
fabFabulous,WC
Stomaged,WC
Naru,WC
Achuu,WC
Dumbledoge,WC
Thaldrin,WC
