Player,Position,Games,Win rate,KDA
Licorice,TOP,13,53.8%,2.6
Maple,MID,7,42.9%,4.6
Mata,SUPPORT,11,63.6%,3.9
Meliodas,JUNGLE,5,20%,2.7
Ming,SUPPORT,12,58.3%,2.9
Mlxg,JUNGLE,3,66.7%,2.2
MooJin,JUNGLE,7,42.9%,6.2
Mowgli,JUNGLE,2,50%,4.3
Naul,MID,6,33.3%,2.5
Ning,JUNGLE,18,77.8%,5.2
Olleh,SUPPORT,6,50%,2.7
Palette,SUPPORT,6,33.3%,1.7
Perkz,MID,15,46.7%,2.8
Pk,TOP,6,0%,1.2
Pobelter,MID,6,50%,2.1
Ray,TOP,10,50%,3.8
Rekkles,ADC,17,70.6%,8.9
Rikara,ADC,6,33.3%,2.8
RooKie,MID,18,77.8%,6.8
Ruler,ADC,6,16.7%,2.6
Ryu,MID,6,33.3%,2.1
Score,JUNGLE,11,63.6%,5
Scout,MID,10,50%,5.1
Smeb,TOP,11,63.6%,3.5
Sneaky,ADC,13,53.8%,3.7
Spirit,JUNGLE,7,42.9%,2.9
Stitch,ADC,6,0%,1.3
Svenskeren,JUNGLE,12,58.3%,3.1
SwordArt,SUPPORT,7,42.9%,2.9
TheShy,TOP,13,84.6%,4.6
TusiN,SUPPORT,9,44.4%,2.7
Ucal,MID,11,63.6%,3.8
Uniboy,MID,6,0%,1.2
Uzi,ADC,12,58.3%,4.8
Wadid,SUPPORT,15,46.7%,3.1
Wunder,TOP,15,46.7%,2.5
Xmithie,JUNGLE,6,50%,2.7
XuHao,JUNGLE,1,100%,3.2
Zeros,TOP,6,33.3%,1.4
Zeyzal,SUPPORT,13,53.8%,3.2
baybay,JUNGLE,3,0%,0.8
iBOY,ADC,10,50%,6.6
jactroll,SUPPORT,6,50%,1.9
kurO,MID,9,44.4%,3.9
meiko,SUPPORT,10,50%,3.8
sOAZ,TOP,4,50%,3.6
ssumday,TOP,6,33.3%,2.7
xiaohu,MID,12,58.3%,3.7
Bdd,MID,18,55.6%,4.5
Betty,ADC,15,53.3%,6
Broxah,JUNGLE,14,35.7%,3.5
